Name,Position,Age,Team From,League From,Team To,League To,Season,Transfer Fee
Ronnie Stam,Right-Back,26,FC Twente,Eredivisie,Wigan,Premier League,2010-2011,4000000.0
Mauro Formica,Attacking Midfield,22,Newell's,Torneo Final,Blackburn,Premier League,2010-2011,4000000.0
Wellington Silva,Right Winger,18,Fluminense,Série A,Arsenal,Premier League,2010-2011,4000000.0
Mauro Boselli,Centre-Forward,25,Estudiantes,Torneo Final,Wigan,Premier League,2010-2011,3700000.0
Steven Pienaar,Left Winger,28,Everton,Premier League,Tottenham,Premier League,2010-2011,3600000.0
Stephen Hunt,Left Midfield,28,Hull City,Championship,Wolves,Premier League,2010-2011,3600000.0
Marc Wilson,Centre-Back,23,Portsmouth,Championship,Stoke City,Premier League,2010-2011,3600000.0
Jonathan Walters,Right Winger,26,Ipswich,Championship,Stoke City,Premier League,2010-2011,3300000.0
Jelle Van Damme,Left-Back,26,RSC Anderlecht,Jupiler Pro League,Wolves,Premier League,2010-2011,3250000.0
Peter Odemwingie,Right Winger,29,Loko Moscow,Premier Liga,West Brom,Premier League,2010-2011,3000000.0
Sergio Agüero,Centre-Forward,23,Atlético Madrid,LaLiga,Manchester City,Premier League,2011-2012,40000000.0
Samir Nasri,Left Winger,24,Arsenal,Premier League,Manchester City,Premier League,2011-2012,27500000.0
Juan Mata,Attacking Midfield,23,Valencia CF,LaLiga,Chelsea,Premier League,2011-2012,26700000.0
David de Gea,Goalkeeper,20,Atlético Madrid,LaLiga,Manchester United,Premier League,2011-2012,25000000.0
Stewart Downing,Left Midfield,26,Aston Villa,Premier League,Liverpool,Premier League,2011-2012,22800000.0
Phil Jones,Centre-Back,19,Blackburn,Premier League,Manchester United,Premier League,2011-2012,19300000.0
Ashley Young,Left Midfield,25,Aston Villa,Premier League,Manchester United,Premier League,2011-2012,18000000.0
Jordan Henderson,Central Midfield,21,Sunderland,Premier League,Liverpool,Premier League,2011-2012,18000000.0
Romelu Lukaku,Centre-Forward,18,RSC Anderlecht,Jupiler Pro League,Chelsea,Premier League,2011-2012,15000000.0
Alex Oxlade-Chamberlain,Right Midfield,17,Southampton,Championship,Arsenal,Premier League,2011-2012,13800000.0
Raúl Meireles,Central Midfield,28,Liverpool,Premier League,Chelsea,Premier League,2011-2012,13500000.0
Gervinho,Left Winger,24,LOSC Lille,Ligue 1,Arsenal,Premier League,2011-2012,12000000.0
Mikel Arteta,Central Midfield,29,Everton,Premier League,Arsenal,Premier League,2011-2012,12000000.0
Papiss Demba Cissé,Centre-Forward,26,SC Freiburg,1.Bundesliga,Newcastle,Premier League,2011-2012,12000000.0
Bryan Ruíz,Left Midfield,26,FC Twente,Eredivisie,Fulham,Premier League,2011-2012,12000000.0
Stefan Savic,Centre-Back,20,Partizan,SuperLiga,Manchester City,Premier League,2011-2012,12000000.0
Per Mertesacker,Centre-Back,26,Werder Bremen,1.Bundesliga,Arsenal,Premier League,2011-2012,11300000.0
Peter Crouch,Centre-Forward,30,Spurs,Premier League,Stoke City,Premier League,2011-2012,11300000.0
Charles N'Zogbia,Right Winger,25,Wigan,Premier League,Aston Villa,Premier League,2011-2012,10800000.0
Wilson Palacios,Defensive Midfield,26,Spurs,Premier League,Stoke City,Premier League,2011-2012,9000000.0
Connor Wickham,Centre-Forward,18,Ipswich,Championship,Sunderland,Premier League,2011-2012,9000000.0
Thibaut Courtois,Goalkeeper,19,KRC Genk,Jupiler Pro League,Chelsea,Premier League,2011-2012,8950000.0
Gary Cahill,Centre-Back,26,Bolton,Premier League,Chelsea,Premier League,2011-2012,8400000.0
Charlie Adam,Central Midfield,25,Blackpool,Championship,Liverpool,Premier League,2011-2012,8400000.0
Kevin De Bruyne,Attacking Midfield,20,KRC Genk,Jupiler Pro League,Chelsea,Premier League,2011-2012,8000000.0
José Enrique,Left-Back,25,Newcastle,Premier League,Liverpool,Premier League,2011-2012,8000000.0
Roger Johnson,Centre-Back,28,Birmingham,Championship,Wolves,Premier League,2011-2012,8000000.0
Sebastián Coates,Centre-Back,20,Nacional,Primera División,Liverpool,Premier League,2011-2012,8000000.0
Gaël Clichy,Left-Back,25,Arsenal,Premier League,Manchester City,Premier League,2011-2012,7750000.0
Lucas Piazón,Left Winger,18,FC São Paulo B, Brazil,Chelsea,Premier League,2011-2012,7500000.0
André Santos,Attacking Midfield,28,Fenerbahce,Süper Lig,Arsenal,Premier League,2011-2012,7000000.0
Scott Dann,Centre-Back,24,Birmingham,Championship,Blackburn,Premier League,2011-2012,6800000.0
Nikica Jelavic,Centre-Forward,26,Rangers,Premiership,Everton,Premier League,2011-2012,6600000.0
Craig Gardner,Central Midfield,24,Birmingham,Championship,Sunderland,Premier League,2011-2012,6600000.0
Ju-yeong Park,Centre-Forward,26,Monaco,Ligue 2,Arsenal,Premier League,2011-2012,6500000.0
Scott Parker,Central Midfield,30,West Ham,Championship,Tottenham,Premier League,2011-2012,6200000.0
Bobby Zamora,Centre-Forward,31,Fulham,Premier League,QPR,Premier League,2011-2012,5800000.0
Davide Santon,Left-Back,20,Inter,Serie A,Newcastle,Premier League,2011-2012,5650000.0
Shane Long,Centre-Forward,24,Reading,Championship,West Brom,Premier League,2011-2012,5100000.0
Yohan Cabaye,Central Midfield,25,LOSC Lille,Ligue 1,Newcastle,Premier League,2011-2012,5000000.0
Djibril Cissé,Centre-Forward,30,Lazio,Serie A,QPR,Premier League,2011-2012,5000000.0
Nedum Onuoha,Centre-Back,25,Man City,Premier League,QPR,Premier League,2011-2012,4700000.0
Jean Beausejour,Left-Back,27,Birmingham,Championship,Wigan,Premier League,2011-2012,4700000.0
Oriol Romeu,Defensive Midfield,19,FC Barcelona B,LaLiga2,Chelsea,Premier League,2011-2012,4600000.0
Shaun Wright-Phillips,Right Winger,29,Man City,Premier League,QPR,Premier League,2011-2012,4500000.0
Alan Hutton,Right-Back,26,Spurs,Premier League,Aston Villa,Premier League,2011-2012,4500000.0
John O'Shea,Centre-Back,30,Man Utd,Premier League,Sunderland,Premier League,2011-2012,4500000.0
David N'Gog,Centre-Forward,22,Liverpool,Premier League,Bolton,Premier League,2011-2012,4500000.0
Cameron Jerome,Centre-Forward,25,Birmingham,Championship,Stoke City,Premier League,2011-2012,4500000.0
Ali Al-Habsi,Goalkeeper,29,Bolton,Premier League,Wigan,Premier League,2011-2012,4300000.0
Danny Graham,Centre-Forward,25,Watford,Championship,Swansea,Premier League,2011-2012,3900000.0
Ryan Bennett,Centre-Back,21,Peterborough,Championship,Norwich,Premier League,2011-2012,3850000.0
Shay Given,Goalkeeper,35,Man City,Premier League,Aston Villa,Premier League,2011-2012,3750000.0
Jamie O'Hara,Central Midfield,24,Spurs,Premier League,Wolves,Premier League,2011-2012,3750000.0
Marvin Sordell,Centre-Forward,20,Watford,Championship,Bolton,Premier League,2011-2012,3600000.0
Eden Hazard,Left Winger,21,LOSC Lille,Ligue 1,Chelsea,Premier League,2012-2013,35000000.0
Oscar,Attacking Midfield,20,Internacional,Série A,Chelsea,Premier League,2012-2013,32000000.0
Robin van Persie,Centre-Forward,29,Arsenal,Premier League,Manchester United,Premier League,2012-2013,30700000.0
Javi García,Defensive Midfield,25,Benfica,Liga NOS,Manchester City,Premier League,2012-2013,20200000.0
Santi Cazorla,Central Midfield,27,Málaga CF,LaLiga,Arsenal,Premier League,2012-2013,19000000.0
Mousa Dembélé,Central Midfield,25,Fulham,Premier League,Tottenham,Premier League,2012-2013,19000000.0
Joe Allen,Central Midfield,22,Swansea,Premier League,Liverpool,Premier League,2012-2013,19000000.0
Shinji Kagawa,Attacking Midfield,23,Bor. Dortmund,1.Bundesliga,Manchester United,Premier League,2012-2013,16000000.0
Gastón Ramírez,Attacking Midfield,21,Bologna,Serie A,Southampton,Premier League,2012-2013,15200000.0
Steven Fletcher,Centre-Forward,25,Wolves,Championship,Sunderland,Premier League,2012-2013,15200000.0
Matija Nastasic,Centre-Back,19,Fiorentina,Serie A,Manchester City,Premier League,2012-2013,15200000.0
Lukas Podolski,Centre-Forward,27,1. FC Köln,2.Bundesliga,Arsenal,Premier League,2012-2013,15000000.0
Daniel Sturridge,Centre-Forward,23,Chelsea,Premier League,Liverpool,Premier League,2012-2013,15000000.0
Christopher Samba,Centre-Back,28,Anzhi,Premier Liga,QPR,Premier League,2012-2013,15000000.0
Jack Rodwell,Defensive Midfield,21,Everton,Premier League,Manchester City,Premier League,2012-2013,15000000.0
Fabio Borini,Left Winger,21,AS Roma,Serie A,Liverpool,Premier League,2012-2013,13300000.0
Philippe Coutinho,Attacking Midfield,20,Inter,Serie A,Liverpool,Premier League,2012-2013,13000000.0
Hugo Lloris,Goalkeeper,25,Olympique Lyon,Ligue 1,Tottenham,Premier League,2012-2013,12600000.0
Adam Johnson,Right Winger,25,Man City,Premier League,Sunderland,Premier League,2012-2013,12600000.0
Jan Vertonghen,Centre-Back,25,AFC Ajax,Eredivisie,Tottenham,Premier League,2012-2013,12500000.0
Olivier Giroud,Centre-Forward,25,Montpellier,Ligue 1,Arsenal,Premier League,2012-2013,12000000.0
Wilfried Zaha,Right Winger,20,Crystal Palace,Championship,Manchester United,Premier League,2012-2013,11750000.0
Victor Moses,Right Midfield,21,Wigan,Premier League,Chelsea,Premier League,2012-2013,11500000.0
Loïc Rémy,Centre-Forward,26,Marseille,Ligue 1,QPR,Premier League,2012-2013,10500000.0
Gylfi Sigurdsson,Attacking Midfield,22,TSG Hoffenheim,1.Bundesliga,Tottenham,Premier League,2012-2013,10000000.0
Nacho Monreal,Left-Back,26,Málaga CF,LaLiga,Arsenal,Premier League,2012-2013,10000000.0
Matt Jarvis,Left Winger,26,Wolves,Championship,West Ham,Premier League,2012-2013,9500000.0
César Azpilicueta,Right-Back,23,Marseille,Ligue 1,Chelsea,Premier League,2012-2013,8800000.0
Christian Benteke,Centre-Forward,21,KRC Genk,Jupiler Pro League,Aston Villa,Premier League,2012-2013,8800000.0
Jay Rodríguez,Centre-Forward,22,Burnley,Championship,Southampton,Premier League,2012-2013,8650000.0
Demba Ba,Centre-Forward,27,Newcastle,Premier League,Chelsea,Premier League,2012-2013,8500000.0
Vurnon Anita,Defensive Midfield,23,AFC Ajax,Eredivisie,Newcastle,Premier League,2012-2013,8500000.0
Marko Marin,Left Winger,23,Werder Bremen,1.Bundesliga,Chelsea,Premier League,2012-2013,8000000.0
Mapou Yanga-Mbiwa,Centre-Back,23,Montpellier,Ligue 1,Newcastle,Premier League,2012-2013,8000000.0
Esteban Granero,Central Midfield,25,Real Madrid,LaLiga,QPR,Premier League,2012-2013,8000000.0
Scott Sinclair,Left Midfield,23,Swansea,Premier League,Manchester City,Premier League,2012-2013,7800000.0
Kevin Mirallas,Right Winger,24,Olympiacos,Super League,Everton,Premier League,2012-2013,7650000.0
Clint Dempsey,Second Striker,29,Fulham,Premier League,Tottenham,Premier League,2012-2013,7500000.0
Nick Powell,Attacking Midfield,18,Crewe Alexandra,League One,Manchester United,Premier League,2012-2013,7500000.0
Pablo Hernández,Right Winger,27,Valencia CF,LaLiga,Swansea,Premier League,2012-2013,7000000.0
Sung-yong Ki,Defensive Midfield,23,Celtic,Premiership,Swansea,Premier League,2012-2013,7000000.0
Emmanuel Adebayor,Centre-Forward,28,Man City,Premier League,Tottenham,Premier League,2012-2013,6400000.0
Mathieu Debuchy,Right-Back,27,LOSC Lille,Ligue 1,Newcastle,Premier League,2012-2013,6200000.0
Charlie Adam,Central Midfield,26,Liverpool,Premier League,Stoke City,Premier League,2012-2013,6200000.0
Stéphane Mbia,Defensive Midfield,26,Marseille,Ligue 1,QPR,Premier League,2012-2013,6000000.0
Iván Ramis,Centre-Back,27,RCD Mallorca,LaLiga,Wigan,Premier League,2012-2013,6000000.0
Modibo Maïga,Centre-Forward,24,FC Sochaux,Ligue 1,West Ham,Premier League,2012-2013,6000000.0
Danny Graham,Centre-Forward,27,Swansea,Premier League,Sunderland,Premier League,2012-2013,5800000.0
Steven Pienaar,Left Winger,30,Spurs,Premier League,Everton,Premier League,2012-2013,5750000.0
Ángelo Henríquez,Centre-Forward,18,U. de Chile,Primera División,Manchester United,Premier League,2012-2013,5500000.0
Wallace Oliveira,Right-Back,18,Fluminense,Série A,Chelsea,Premier League,2012-2013,5400000.0
Dimitar Berbatov,Centre-Forward,31,Man Utd,Premier League,Fulham,Premier League,2012-2013,5000000.0
Ben Foster,Goalkeeper,29,Birmingham,Championship,West Brom,Premier League,2012-2013,5000000.0
Alexander Büttner,Left-Back,23,Vitesse,Eredivisie,Manchester United,Premier League,2012-2013,5000000.0
Alfred N'Diaye,Defensive Midfield,22,Bursaspor,Süper Lig,Sunderland,Premier League,2012-2013,4700000.0
Bryan Oviedo,Left-Back,22,FC Copenhagen,Superligaen,Everton,Premier League,2012-2013,4500000.0
Steven Nzonzi,Defensive Midfield,23,Blackburn,Championship,Stoke City,Premier League,2012-2013,4400000.0
Oussama Assaidi,Left Winger,24,Heerenveen,Eredivisie,Liverpool,Premier League,2012-2013,4000000.0
Emmanuel Mayuka,Centre-Forward,21,BSC Young Boys,Super League,Southampton,Premier League,2012-2013,4000000.0
Samba Diakité,Defensive Midfield,23,AS Nancy,Ligue 1,QPR,Premier League,2012-2013,4000000.0
Arouna Koné,Centre-Forward,28,Levante UD,LaLiga,Wigan,Premier League,2012-2013,3800000.0
Ron Vlaar,Centre-Back,27,Feyenoord,Eredivisie,Aston Villa,Premier League,2012-2013,3800000.0
Adrian Mariappa,Centre-Back,25,Watford,Championship,Reading,Premier League,2012-2013,3800000.0
Jack Butland,Goalkeeper,19,Birmingham,Championship,Stoke City,Premier League,2012-2013,3800000.0
Maicon,Right-Back,31,Inter,Serie A,Manchester City,Premier League,2012-2013,3750000.0
Junior Hoilett,Left Winger,22,Blackburn,Championship,QPR,Premier League,2012-2013,3750000.0
Matthew Lowton,Right-Back,23,Sheffield Utd.,League One,Aston Villa,Premier League,2012-2013,3750000.0
Mesut Özil,Attacking Midfield,24,Real Madrid,LaLiga,Arsenal,Premier League,2013-2014,47000000.0
Juan Mata,Attacking Midfield,25,Chelsea,Premier League,Manchester United,Premier League,2013-2014,44730000.0
Fernandinho,Defensive Midfield,28,Shakhtar D.,Premier Liga,Manchester City,Premier League,2013-2014,40000000.0
Willian,Right Winger,25,Anzhi,Premier Liga,Chelsea,Premier League,2013-2014,35500000.0
Marouane Fellaini,Central Midfield,25,Everton,Premier League,Manchester United,Premier League,2013-2014,32400000.0
Roberto Soldado,Centre-Forward,28,Valencia CF,LaLiga,Tottenham,Premier League,2013-2014,30000000.0
Érik Lamela,Right Winger,21,AS Roma,Serie A,Tottenham,Premier League,2013-2014,30000000.0
Stevan Jovetic,Centre-Forward,23,Fiorentina,Serie A,Manchester City,Premier League,2013-2014,26000000.0
Nemanja Matic,Defensive Midfield,25,Benfica,Liga NOS,Chelsea,Premier League,2013-2014,25000000.0
Álvaro Negredo,Centre-Forward,27,Sevilla FC,LaLiga,Manchester City,Premier League,2013-2014,25000000.0
André Schürrle,Left Winger,22,Bay. Leverkusen,1.Bundesliga,Chelsea,Premier League,2013-2014,22000000.0
Jesús Navas,Right Winger,27,Sevilla FC,LaLiga,Manchester City,Premier League,2013-2014,20000000.0
Paulinho,Central Midfield,24,Corinthians,Série A,Tottenham,Premier League,2013-2014,19730000.0
Mamadou Sakho,Centre-Back,23,Paris SG,Ligue 1,Liverpool,Premier League,2013-2014,19000000.0
Andy Carroll,Centre-Forward,24,Liverpool,Premier League,West Ham,Premier League,2013-2014,17500000.0
Mohamed Salah,Right Winger,21,FC Basel,Super League,Chelsea,Premier League,2013-2014,16500000.0
Wilfried Bony,Centre-Forward,24,Vitesse,Eredivisie,Swansea,Premier League,2013-2014,16000000.0
James McCarthy,Central Midfield,22,Wigan,Championship,Everton,Premier League,2013-2014,15300000.0
Konstantinos Mitroglou,Centre-Forward,25,Olympiacos,Super League,Fulham,Premier League,2013-2014,15200000.0
Daniel Osvaldo,Centre-Forward,27,AS Roma,Serie A,Southampton,Premier League,2013-2014,15100000.0
Kurt Zouma,Centre-Back,19,Saint-Étienne,Ligue 1,Chelsea,Premier League,2013-2014,14600000.0
Victor Wanyama,Defensive Midfield,22,Celtic,Premiership,Southampton,Premier League,2013-2014,14500000.0
Christian Eriksen,Attacking Midfield,21,AFC Ajax,Eredivisie,Tottenham,Premier League,2013-2014,13500000.0
Gary Medel,Defensive Midfield,26,Sevilla FC,LaLiga,Cardiff,Premier League,2013-2014,13000000.0
Étienne Capoue,Defensive Midfield,25,Toulouse,Ligue 1,Tottenham,Premier League,2013-2014,11000000.0
Iago Aspas,Right Winger,25,Celta de Vigo,LaLiga,Liverpool,Premier League,2013-2014,10800000.0
Simon Mignolet,Goalkeeper,25,Sunderland,Premier League,Liverpool,Premier League,2013-2014,10600000.0
Ricky van Wolfswinkel,Centre-Forward,24,Sporting CP,Liga NOS,Norwich,Premier League,2013-2014,10000000.0
Dejan Lovren,Centre-Back,24,Olympique Lyon,Ligue 1,Southampton,Premier League,2013-2014,10000000.0
Jozy Altidore,Centre-Forward,23,AZ Alkmaar,Eredivisie,Sunderland,Premier League,2013-2014,10000000.0
Vlad Chiriches,Centre-Back,23,FCS Bucharest,Liga 1,Tottenham,Premier League,2013-2014,9500000.0
Marco van Ginkel,Central Midfield,20,Vitesse,Eredivisie,Chelsea,Premier League,2013-2014,9400000.0
Steven Caulker,Centre-Back,21,Spurs,Premier League,Cardiff,Premier League,2013-2014,9150000.0
Andreas Cornelius,Centre-Forward,20,FC Copenhagen,Superligaen,Cardiff,Premier League,2013-2014,8700000.0
Shane Long,Centre-Forward,27,West Brom,Premier League,Hull City,Premier League,2013-2014,8500000.0
Nacer Chadli,Left Winger,23,FC Twente,Eredivisie,Tottenham,Premier League,2013-2014,8150000.0
Luis Alberto,Attacking Midfield,20,Sevilla FC,LaLiga,Liverpool,Premier League,2013-2014,8000000.0
Nikica Jelavic,Centre-Forward,28,Everton,Premier League,Hull City,Premier League,2013-2014,7800000.0
Emanuele Giaccherini,Left Winger,28,Juventus,Serie A,Sunderland,Premier League,2013-2014,7500000.0
Tiago Ilori,Centre-Back,20,Sporting CP,Liga NOS,Liverpool,Premier League,2013-2014,7500000.0
Stéphane Sessègnon,Attacking Midfield,29,Sunderland,Premier League,West Brom,Premier League,2013-2014,7000000.0
Arouna Koné,Centre-Forward,29,Wigan,Championship,Everton,Premier League,2013-2014,7000000.0
Libor Kozak,Centre-Forward,24,Lazio,Serie A,Aston Villa,Premier League,2013-2014,6500000.0
Gary Hooper,Centre-Forward,25,Celtic,Premiership,Norwich,Premier League,2013-2014,6300000.0
Jonjo Shelvey,Central Midfield,21,Liverpool,Premier League,Swansea,Premier League,2013-2014,5900000.0
Victor Anichebe,Centre-Forward,25,Everton,Premier League,West Brom,Premier League,2013-2014,5900000.0
Stewart Downing,Left Midfield,29,Liverpool,Premier League,West Ham,Premier League,2013-2014,5800000.0
Tom Huddlestone,Defensive Midfield,26,Spurs,Premier League,Hull City,Premier League,2013-2014,5800000.0
Maarten Stekelenburg,Goalkeeper,30,AS Roma,Serie A,Fulham,Premier League,2013-2014,5600000.0
Leroy Fer,Central Midfield,23,FC Twente,Eredivisie,Norwich,Premier League,2013-2014,5500000.0
Dwight Gayle,Centre-Forward,22,Peterborough,League One,Crystal Palace,Premier League,2013-2014,5300000.0
Martín Demichelis,Centre-Back,32,Atlético Madrid,LaLiga,Manchester City,Premier League,2013-2014,5000000.0
Jores Okore,Centre-Back,20,Nordsjaelland,Superligaen,Aston Villa,Premier League,2013-2014,4700000.0
Scott Parker,Central Midfield,32,Spurs,Premier League,Fulham,Premier League,2013-2014,4500000.0
Joel Robles,Goalkeeper,23,Atlético Madrid,LaLiga,Everton,Premier League,2013-2014,4000000.0
Ángel Di María,Right Winger,26,Real Madrid,LaLiga,Manchester United,Premier League,2014-2015,75000000.0
Alexis Sánchez,Left Winger,25,FC Barcelona,LaLiga,Arsenal,Premier League,2014-2015,42500000.0
Diego Costa,Centre-Forward,25,Atlético Madrid,LaLiga,Chelsea,Premier League,2014-2015,38000000.0
Luke Shaw,Left-Back,18,Southampton,Premier League,Manchester United,Premier League,2014-2015,37500000.0
Ander Herrera,Central Midfield,24,Athletic Bilbao,LaLiga,Manchester United,Premier League,2014-2015,36000000.0
Romelu Lukaku,Centre-Forward,21,Chelsea,Premier League,Everton,Premier League,2014-2015,35360000.0
Cesc Fàbregas,Central Midfield,27,FC Barcelona,LaLiga,Chelsea,Premier League,2014-2015,33000000.0
Wilfried Bony,Centre-Forward,26,Swansea,Premier League,Manchester City,Premier League,2014-2015,32300000.0
Juan Cuadrado,Right Winger,26,Fiorentina,Serie A,Chelsea,Premier League,2014-2015,31000000.0
Adam Lallana,Attacking Midfield,26,Southampton,Premier League,Liverpool,Premier League,2014-2015,31000000.0
Eliaquim Mangala,Centre-Back,23,FC Porto,Liga NOS,Manchester City,Premier League,2014-2015,30500000.0
Dejan Lovren,Centre-Back,25,Southampton,Premier League,Liverpool,Premier League,2014-2015,25300000.0
Lazar Markovic,Right Winger,20,Benfica,Liga NOS,Liverpool,Premier League,2014-2015,25000000.0
Sadio Mané,Left Winger,22,RB Salzburg,Bundesliga,Southampton,Premier League,2014-2015,23000000.0
Calum Chambers,Centre-Back,19,Southampton,Premier League,Arsenal,Premier League,2014-2015,20230000.0
Mario Balotelli,Centre-Forward,24,AC Milan,Serie A,Liverpool,Premier League,2014-2015,20000000.0
Danny Welbeck,Centre-Forward,23,Man Utd,Premier League,Arsenal,Premier League,2014-2015,20000000.0
Filipe Luís,Left-Back,28,Atlético Madrid,LaLiga,Chelsea,Premier League,2014-2015,20000000.0
Marcos Rojo,Centre-Back,24,Sporting CP,Liga NOS,Manchester United,Premier League,2014-2015,20000000.0
Alberto Moreno,Left-Back,22,Sevilla FC,LaLiga,Liverpool,Premier League,2014-2015,18000000.0
Daley Blind,Left-Back,24,AFC Ajax,Eredivisie,Manchester United,Premier League,2014-2015,17500000.0
Fernando,Defensive Midfield,26,FC Porto,Liga NOS,Manchester City,Premier League,2014-2015,15000000.0
Mathieu Debuchy,Right-Back,28,Newcastle,Premier League,Arsenal,Premier League,2014-2015,15000000.0
Gabriel Paulista,Centre-Back,24,Villarreal CF,LaLiga,Arsenal,Premier League,2014-2015,15000000.0
Enner Valencia,Centre-Forward,24,CF Pachuca,Liga MX Clausura,West Ham,Premier League,2014-2015,15000000.0
Shane Long,Centre-Forward,27,Hull City,Premier League,Southampton,Premier League,2014-2015,14900000.0
Dusan Tadic,Attacking Midfield,25,FC Twente,Eredivisie,Southampton,Premier League,2014-2015,14000000.0
Ryan Bertrand,Left-Back,25,Chelsea,Premier League,Southampton,Premier League,2014-2015,13340000.0
Loïc Rémy,Centre-Forward,27,QPR,Premier League,Chelsea,Premier League,2014-2015,13200000.0
Ben Davies,Left-Back,21,Swansea,Premier League,Tottenham,Premier League,2014-2015,12650000.0
Brown Ideye,Centre-Forward,25,Dynamo Kyiv,Premier Liga,West Brom,Premier League,2014-2015,12630000.0
Divock Origi,Centre-Forward,19,LOSC Lille,Ligue 1,Liverpool,Premier League,2014-2015,12630000.0
Jack Rodwell,Defensive Midfield,23,Man City,Premier League,Sunderland,Premier League,2014-2015,12600000.0
Fraser Forster,Goalkeeper,26,Celtic,Premiership,Southampton,Premier League,2014-2015,12500000.0
Emre Can,Defensive Midfield,20,Bay. Leverkusen,1.Bundesliga,Liverpool,Premier League,2014-2015,12000000.0
Abel Hernández,Centre-Forward,24,US Palermo,Serie A,Hull City,Premier League,2014-2015,12000000.0
Graziano Pellè,Centre-Forward,29,Feyenoord,Eredivisie,Southampton,Premier League,2014-2015,11000000.0
Steven Caulker,Centre-Back,22,Cardiff,Championship,QPR,Premier League,2014-2015,10750000.0
Gylfi Sigurdsson,Attacking Midfield,24,Spurs,Premier League,Swansea,Premier League,2014-2015,10100000.0
Leonardo Ulloa,Centre-Forward,28,Brighton,Championship,Leicester City,Premier League,2014-2015,10100000.0
Rémy Cabella,Attacking Midfield,24,Montpellier,Ligue 1,Newcastle,Premier League,2014-2015,10000000.0
Leroy Fer,Central Midfield,24,Norwich,Championship,QPR,Premier League,2014-2015,10000000.0
Federico Fazio,Centre-Back,27,Sevilla FC,LaLiga,Tottenham,Premier League,2014-2015,10000000.0
Federico Fernández,Centre-Back,25,SSC Napoli,Serie A,Swansea,Premier League,2014-2015,10000000.0
Andrej Kramaric,Centre-Forward,23,HNK Rijeka,1.HNL,Leicester City,Premier League,2014-2015,9000000.0
James McArthur,Central Midfield,26,Wigan,Championship,Crystal Palace,Premier League,2014-2015,8800000.0
Siem de Jong,Attacking Midfield,25,AFC Ajax,Eredivisie,Newcastle,Premier League,2014-2015,8700000.0
Willy Caballero,Goalkeeper,32,Málaga CF,LaLiga,Manchester City,Premier League,2014-2015,8000000.0
Jordon Mutch,Central Midfield,22,Cardiff,Championship,QPR,Premier League,2014-2015,7570000.0
Sandro,Defensive Midfield,25,Spurs,Premier League,QPR,Premier League,2014-2015,7500000.0
Cheikhou Kouyaté,Defensive Midfield,24,RSC Anderlecht,Jupiler Pro League,West Ham,Premier League,2014-2015,7500000.0
Robert Snodgrass,Right Winger,26,Norwich,Championship,Hull City,Premier League,2014-2015,7500000.0
Jake Livermore,Defensive Midfield,24,Spurs,Premier League,Hull City,Premier League,2014-2015,7000000.0
Florin Gardos,Centre-Back,25,FCS Bucharest,Liga 1,Southampton,Premier League,2014-2015,6800000.0
Dele Alli,Attacking Midfield,18,MK Dons,League One,Tottenham,Premier League,2014-2015,6630000.0
Kyle Naughton,Right-Back,26,Spurs,Premier League,Swansea,Premier League,2014-2015,6600000.0
Callum McManaman,Right Winger,23,Wigan,Championship,West Brom,Premier League,2014-2015,6350000.0
Jordon Mutch,Central Midfield,23,QPR,Premier League,Crystal Palace,Premier League,2014-2015,6340000.0
Emmanuel Rivière,Centre-Forward,24,Monaco,Ligue 1,Newcastle,Premier League,2014-2015,6320000.0
Daryl Janmaat,Right-Back,25,Feyenoord,Eredivisie,Newcastle,Premier League,2014-2015,6000000.0
Carlos Sánchez,Defensive Midfield,28,Elche CF,LaLiga,Aston Villa,Premier League,2014-2015,6000000.0
Benjamin Stambouli,Centre-Back,24,Montpellier,Ligue 1,Tottenham,Premier League,2014-2015,5900000.0
Michel Vorm,Goalkeeper,30,Swansea,Premier League,Tottenham,Premier League,2014-2015,5690000.0
Rickie Lambert,Centre-Forward,32,Southampton,Premier League,Liverpool,Premier League,2014-2015,5500000.0
Pape Souaré,Left-Back,24,LOSC Lille,Ligue 1,Crystal Palace,Premier League,2014-2015,5330000.0
Eric Dier,Defensive Midfield,20,Sporting CP,Liga NOS,Tottenham,Premier League,2014-2015,5000000.0
Jefferson Montero,Left Winger,24,Morelia,Liga MX Clausura,Swansea,Premier League,2014-2015,5000000.0
Diafra Sakho,Centre-Forward,24,FC Metz,Ligue 1,West Ham,Premier League,2014-2015,5000000.0
Karl Darlow,Goalkeeper,23,Nottm Forest,Championship,Newcastle,Premier League,2014-2015,5000000.0
Jamaal Lascelles,Centre-Back,20,Nottm Forest,Championship,Newcastle,Premier League,2014-2015,5000000.0
Muhamed Besic,Defensive Midfield,21,Ferencváros,NB I.,Everton,Premier League,2014-2015,4800000.0
Aaron Cresswell,Left-Back,24,Ipswich,Championship,West Ham,Premier League,2014-2015,4750000.0
Mohamed Diamé,Central Midfield,27,West Ham,Premier League,Hull City,Premier League,2014-2015,4400000.0
Michael Dawson,Centre-Back,30,Spurs,Premier League,Hull City,Premier League,2014-2015,4400000.0
Carles Gil,Right Winger,22,Valencia CF,LaLiga,Aston Villa,Premier League,2014-2015,4200000.0
Kevin De Bruyne,Attacking Midfield,24,VfL Wolfsburg,1.Bundesliga,Manchester City,Premier League,2015-2016,76000000.0
